Date,Value
2020-03-01,93.31696
2020-04-01,89.1112
2020-05-01,93.43834
2020-06-01,96.71018
2020-07-01,98.17964
2020-08-01,98.97382
2020-09-01,99.68946
2020-10-01,100.0822
2020-11-01,100.3814
2020-12-01,100.6929
2021-01-01,100.891
2021-02-01,101.0794
2021-03-01,101.2892
2021-04-01,101.4328
2021-05-01,101.4903
2021-06-01,101.5029
2021-07-01,101.3706
2021-08-01,101.2554
2021-09-01,101.1754
2021-10-01,101.0911
2021-11-01,100.9593
2021-12-01,100.8071
2022-01-01,100.6186
2022-02-01,100.3908
2022-03-01,100.1353
2022-04-01,99.87402
2022-05-01,99.61582
2022-06-01,99.37729
2022-07-01,99.17868
2022-08-01,99.03568
2022-09-01,98.94788
2022-10-01,98.91902
2022-11-01,98.94837
2022-12-01,99.04012
2023-01-01,99.1604
2023-02-01,99.29855
2023-03-01,99.43752
2023-04-01,99.56622
2023-05-01,99.692
2023-06-01,99.79833
2023-07-01,99.88793
2023-08-01,99.9467
2023-09-01,99.97059
2023-10-01,99.97224
2023-11-01,99.96664
2023-12-01,99.96001
2024-01-01,99.94962
2024-02-01,99.93256
2024-03-01,99.9046
2024-04-01,99.8653
2024-05-01,99.82439
2024-06-01,99.79268
2024-07-01,99.78626
2024-08-01,99.81178
2024-09-01,99.86955
2024-10-01,99.94766
2024-11-01,100.0269
2024-12-01,100.0873
2025-01-01,100.1148
2025-02-01,100.108
2025-03-01,100.0727
2025-04-01,100.0325
2025-05-01,100.0155
2025-06-01,100.0266
2025-07-01,100.0596
2025-08-01,100.111
2025-09-01,100.1781
2025-10-01,100.2608
2025-11-01,100.3614
2025-12-01,100.4776
2026-01-01,100.6037
